date,new_daily_cases,new_daily_deaths,total_cases,total_deaths
2/01/20,1,0,1,0
2/02/20,0,0,1,0
2/03/20,0,0,1,0
2/04/20,0,0,1,0
2/05/20,0,0,1,0
2/06/20,0,0,1,0
2/07/20,0,0,1,0
2/08/20,0,0,1,0
2/09/20,1,0,2,0
2/10/20,0,0,2,0
2/11/20,0,0,2,0
2/12/20,0,0,2,0
2/13/20,0,0,2,0
2/14/20,0,0,2,0
2/15/20,0,0,2,0
2/16/20,0,0,2,0
2/17/20,0,0,2,0
2/18/20,0,0,2,0
2/19/20,0,0,2,0
2/20/20,0,0,2,0
2/21/20,0,0,2,0
2/22/20,0,0,2,0
2/23/20,0,0,2,0
2/24/20,0,0,2,0
2/25/20,4,0,6,0
2/26/20,7,0,13,0
2/27/20,2,0,15,0
2/28/20,17,0,32,0
2/29/20,13,0,45,0
3/01/20,39,0,84,0
3/03/20,36,0,120,0
3/04/20,102,2,222,2
3/05/20,37,1,259,3
3/06/20,141,2,400,5
3/07/20,100,5,500,10
3/08/20,173,7,673,17
3/09/20,400,11,1073,28
3/10/20,622,7,1695,35
3/11/20,582,19,2277,54
3/13/20,0,1,2277,55
3/14/20,4114,140,6391,195
3/15/20,1407,94,7798,289
3/16/20,2144,53,9942,342
3/17/20,1806,191,11748,533
3/18/20,2162,90,13910,623
3/19/20,4053,207,17963,830
3/20/20,2447,213,20410,1043
3/21/20,4964,332,25374,1375
3/22/20,3394,397,28768,1772
3/23/20,6368,539,35136,2311
3/24/20,4749,497,39885,2808
3/25/20,9630,839,49515,3647
3/26/20,8271,718,57786,4365
3/27/20,7933,773,65719,5138
3/28/20,7516,844,73235,5982
3/29/20,6875,821,80110,6803
3/30/20,7846,913,87956,7716
3/31/20,7967,748,95923,8464
4/01/20,8195,923,104118,9387
4/02/20,7947,961,112065,10348
4/03/20,7134,850,119199,11198
4/04/20,6969,749,126168,11947
4/05/20,5478,694,131646,12641
4/06/20,5029,700,136675,13341
4/07/20,5267,704,141942,14045
4/08/20,6278,747,148220,14792
4/09/20,5002,655,153222,15447
4/10/20,5051,634,158273,16081
4/11/20,4754,525,163027,16606
4/12/20,3804,603,166831,17209
